1712717056918247169 ('DLO', <Side.BUY: 1>) 1 4608 5
[CANCELLED] 1712717056918247354 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247355 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247356 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247357 ('DLO', <Side.SELL: 2>)
1712717056918247375 ('DLO', <Side.BUY: 1>) 1 4570 1
[CANCELLED] 1712717056918247359 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247360 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247361 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247362 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247363 ('MKU', <Side.SELL: 2>)
1712717056918247376 ('MKU', <Side.BUY: 1>) 1 4573 9
[CANCELLED] 1712717056918247365 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247366 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247367 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247368 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247369 ('IGM', <Side.SELL: 2>)
1712717056918247377 ('IGM', <Side.BUY: 1>) 1 5052 2
[CANCELLED] 1712717056918247371 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247373 ('BRV', <Side.SELL: 2>)
1712717056918247378 ('BRV', <Side.BUY: 1>) 1 4244 9
1712717056918247380 ('EPT', <Side.SELL: 2>) 2 5103 0
[CANCELLED] 1712717056918247374 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247379 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247381 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247382 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247383 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247384 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247385 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247386 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247387 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247388 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247389 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247390 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247391 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247392 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247393 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247394 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247395 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247396 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247397 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247398 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247399 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247400 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247401 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247402 ('IGM', <Side.SELL: 2>)
1712717056918247412 ('IGM', <Side.BUY: 1>) 1 5036 5
[CANCELLED] 1712717056918247403 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247404 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247405 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247406 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247407 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247408 ('BRV', <Side.SELL: 2>)
1712717056918247432 ('IGM', <Side.BUY: 1>) 2 5021 0
1712717056918247413 ('BRV', <Side.BUY: 1>) 1 4266 0
1712717056918247415 ('EPT', <Side.SELL: 2>) 2 5119 0
1712717056918247438 ('BRV', <Side.BUY: 1>) 2 4246 0
1712717056918247411 ('MKU', <Side.BUY: 1>) 1 4592 0
1712717056918247440 ('BRV', <Side.BUY: 1>) 2 4226 0
[CANCELLED] 1712717056918247409 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247414 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247416 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247417 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247418 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247419 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247410 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247420 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247421 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247422 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247423 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247424 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247425 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247426 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247427 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247428 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247429 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247430 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247431 ('MKU', <Side.SELL: 2>)
1712717056918247443 ('MKU', <Side.BUY: 1>) 1 4575 6
[CANCELLED] 1712717056918247433 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247434 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247435 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247436 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247437 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247439 ('BRV', <Side.SELL: 2>)
1712717056918247445 ('BRV', <Side.BUY: 1>) 1 4217 13
1712717056918247470 ('BRV', <Side.BUY: 1>) 2 4210 0
1712717056918247441 ('EPT', <Side.BUY: 1>) 1 5123 0
1712717056918247442 ('DLO', <Side.BUY: 1>) 1 4578 0
[CANCELLED] 1712717056918247446 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247447 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247448 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247449 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247450 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247451 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247452 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247453 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247454 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247455 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247456 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247457 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247458 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247459 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247460 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247461 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247462 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247463 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247444 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247464 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247465 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247466 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247467 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247468 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247469 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247471 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247472 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247473 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247474 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247475 ('BRV', <Side.SELL: 2>)
1712717056918247477 ('DLO', <Side.BUY: 1>) 1 4569 0
1712717056918247476 ('EPT', <Side.BUY: 1>) 1 5118 0
[CANCELLED] 1712717056918247481 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247482 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247483 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247484 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247485 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247486 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247487 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247488 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247489 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247490 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247491 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247492 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247478 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247493 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247494 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247495 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247496 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247497 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247498 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247479 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247499 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247500 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247501 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247502 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247503 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247504 ('IGM', <Side.SELL: 2>)
1712717056918247512 ('IGM', <Side.BUY: 1>) 1 5020 5
[CANCELLED] 1712717056918247480 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247505 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247506 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247507 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247508 ('BRV', <Side.SELL: 2>)
1712717056918247513 ('BRV', <Side.BUY: 1>) 1 4205 0
1712717056918247532 ('IGM', <Side.BUY: 1>) 2 5005 0
1712717056918247511 ('MKU', <Side.BUY: 1>) 1 4564 0
1712717056918247538 ('BRV', <Side.BUY: 1>) 2 4185 0
1712717056918247534 ('IGM', <Side.BUY: 1>) 2 4985 0
1712717056918247510 ('DLO', <Side.BUY: 1>) 1 4566 0
[CANCELLED] 1712717056918247509 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247514 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247515 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247516 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247517 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247518 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247519 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247520 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247521 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247522 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247523 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247524 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247525 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717056918247526 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247527 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247528 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247529 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247530 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717056918247531 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717056918247533 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247535 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717056918247536 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717056918247537 ('IGM', <Side.SELL: 2>)
1712717056918247545 ('IGM', <Side.BUY: 1>) 1 4991 0
[CANCELLED] 1712717056918247539 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717056918247540 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717056918247541 ('BRV', <Side.SELL: 2>)
1712717056918247572 ('BRV', <Side.SELL: 2>) 2 4213 -13
1712717056918247574 ('BRV', <Side.SELL: 2>) 2 4220 0
1712717056918247576 ('BRV', <Side.SELL: 2>) 2 4240 0
1712717056918247560 ('MKU', <Side.SELL: 2>) 2 4591 0
1712717056918247566 ('IGM', <Side.SELL: 2>) 2 5015 0
1712717056918247542 ('EPT', <Side.BUY: 1>) 1 5125 0
1712717056918247568 ('IGM', <Side.SELL: 2>) 2 5035 0
1712717056918247547 ('EPT', <Side.BUY: 1>) 2 5105 0
1712717056918247554 ('DLO', <Side.SELL: 2>) 2 4590 0
1712717056918247570 ('IGM', <Side.SELL: 2>) 2 5055 0
[CANCELLED] 1712717056918247548 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247549 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247550 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247551 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717056918247552 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717056918247543 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717056918247553 ('DLO', <Side.BUY: 1>)
